Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round,Has_P
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,,324,669,2016,6,FALSE
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,,164,349,2016,6,FALSE
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,,3782,4904,2016,6,FALSE
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),,124,124,2016,6,FALSE
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,,1684,2240,2016,6,FALSE
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,,791,989,2016,6,FALSE
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,,433,502,2016,6,FALSE
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,,4670,6094,2016,6,FALSE
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,,2126,2392,2016,6,FALSE
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),,24,24,2016,6,FALSE
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,,903,1286,2016,6,FALSE
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,,454,531,2016,6,FALSE
Indian Institute of Technology Delhi,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,,3787,4714,2016,6,FALSE
Indian Institute of Technology Delhi,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,,2028,2535,2016,6,FALSE
Indian Institute of Technology Delhi,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,,1485,1563,2016,6,FALSE
Indian Institute of Technology Delhi,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,,843,843,2016,6,FALSE
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",OPEN,,2609,3718,2016,6,FALSE
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),,91,91,2016,6,FALSE
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,,1715,2207,2016,6,FALSE
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",SC,,1116,1525,2016,6,FALSE
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",ST,,803,885,2016,6,FALSE
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,,980,1704,2016,6,FALSE
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),,188,188,2016,6,FALSE
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,,650,1072,2016,6,FALSE
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,,394,708,2016,6,FALSE
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,,356,473,2016,6,FALSE
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,,1729,2996,2016,6,FALSE
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN (PwD),,90,90,2016,6,FALSE
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,,1101,1441,2016,6,FALSE
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL (PwD),,58,58,2016,6,FALSE
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,,739,876,2016,6,FALSE
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,,395,702,2016,6,FALSE
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,,767,2618,2016,6,FALSE
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),,70,70,2016,6,FALSE
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,,520,1018,2016,6,FALSE
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),,25,34,2016,6,FALSE
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",SC,,153,400,2016,6,FALSE
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",ST,,14,47,2016,6,FALSE
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,,24,115,2016,6,FALSE
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),,5,5,2016,6,FALSE
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,,33,62,2016,6,FALSE
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,,23,43,2016,6,FALSE
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,,12,19,2016,6,FALSE
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,,124,186,2016,6,FALSE
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,,72,140,2016,6,FALSE
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,,44,47,2016,6,FALSE
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC (PwD),,4,4,2016,6,FALSE
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,,40,46,2016,6,FALSE
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,,80,403,2016,6,FALSE
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),,11,14,2016,6,FALSE
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,,63,226,2016,6,FALSE
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,,16,122,2016,6,FALSE
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,,3,77,2016,6,FALSE
Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",OPEN,,549,999,2016,6,FALSE
